card_url	color	number	name	text	flavor	mana	type	otherSets	cmc	rarity	expansion	artist	pt	mark	colorIndicator	image_url	image_file	booze_text
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Elesh+Norn%2C+Grand+Cenobite	White	16	"Elesh Norn, Grand Cenobite"	VigilanceOther creatures you control get +2/+2.Creatures your opponents control get -2/-2.	"The Gitaxians whisper among themselves of other worlds. If they exist, we must bring Phyrexia's magnificence to them."		Legendary Creature   Praetor		7	Mythic Rare	Modern Masters 2015 Edition	Igor Kieryluk	7-Apr			../../Handlers/Image.ashx?multiverseid=397880&type=card	10.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Elite+Vanguard	White	15	Elite Vanguard		The vanguard is skilled at waging war alone. The enemy is often defeated before its reinforcements reach the front.		Creature   Human Soldier		1	Uncommon	Magic 2012	Mark Tedin	1-Feb			../../Handlers/Image.ashx?multiverseid=240315&type=card	11.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Emeria+Angel	White	11	Emeria Angel	"FlyingLandfall  Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying onto the battlefield."	"When the earth shudders, the sky overflows."		Creature   Angel		4	Rare	Zendikar	Jim Murray	3-Mar			../../Handlers/Image.ashx?multiverseid=190399&type=card	12.jpg	"Flying\nLandfall : Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying and buzztouch onto the battlefield."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Eternal+Dragon	White	26	Eternal Dragon	"Flying: Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.Plainscycling(, Discard this card: Search your library for a Plains card, reveal it, and put it into your hand. Then shuffle your library.)"			Creature   Dragon Spirit		7	Rare	Vintage Masters	Adam Rex	5-May			../../Handlers/Image.ashx?multiverseid=382926&type=card	13.jpg	"Flying\n3WW : Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.\nPlaincycling 1(Pay 1 drink, Discard this card: Search your library for a Plains card, reveal it, and put it into your hand. Then shuffle your library.)"
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Exalted+Angel	White	8	Exalted Angel	"FlyingWhenever Exalted Angel deals damage, you gain that much life.Morph(You may cast this card face down as a 2/2 creature for. Turn it face up any time for its morph cost.)"			Creature   Angel		6	Mythic Rare	From the Vault: Angels	Tyler Jacobson	5-Apr			../../Handlers/Image.ashx?multiverseid=401635&type=card	14.jpg	"Flying\nWhenever Exalted Angel deals damage, you gain that much life or assign 2 drinks.\nMorph: 2WW"
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Fiend+Hunter	White	11	Fiend Hunter	"When Fiend Hunter enters the battlefield, you may exile another target creature.When Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its owner's control."			Creature   Human Cleric		3	Uncommon	Commander 2013 Edition	Wayne Reynolds	3-Jan			../../Handlers/Image.ashx?multiverseid=376331&type=card	15.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Flickerwisp	White	71	Flickerwisp	"FlyingWhen Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step."	Its wings disturb more than air.		Creature   Elemental		3	Uncommon	Commander 2014	Jeremy Enecio	1-Mar			../../Handlers/Image.ashx?multiverseid=389521&type=card	16.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Frontline+Medic	White	12	Frontline Medic	"Battalion  Whenever Frontline Medic and at least two other creatures attack, creatures you control gain indestructible until end of turn.Sacrifice Frontline Medic: Counter target spell within its mana cost unless its controller pays."			Creature   Human Cleric		3	Rare	Gatecrash	Willian Murai	3-Mar	Boros		../../Handlers/Image.ashx?multiverseid=366460&type=card	17.jpg	"Battalion : Whenever Frontline Medic and at least two other creatures attack, creatures you control gain indestructible and buzztouch until end of turn.\nSacrifice Frontline Medic: Counter target spell with x in its mana cost unless its controller pays 3."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Hallowed+Spiritkeeper	White	8	Hallowed Spiritkeeper	"VigilanceWhen Hallowed Spiritkeeper dies, put X 1/1 white Spirit creature tokens with flying onto the battlefield, where X is the number of creature cards in your graveyard."			Creature   Avatar		3	Rare	Commander 2014	Steve Prescott	2-Mar			../../Handlers/Image.ashx?multiverseid=389544&type=card	18.jpg	"Vigilance\nWhen Hallowed Spiritkeeper dies, put X 1/1 white Spirit creature tokens with flying and buzztouch onto the battlefield, where X is the number of creature cards in your graveyard."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Hero+of+Bladehold	White	8	Hero of Bladehold	"Battle cry(Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)Whenever Hero of Bladehold attacks, put two 1/1 white Soldier creature tokens onto the battlefield tapped and attacking."			Creature   Human Knight		4	Mythic Rare	Mirrodin Besieged	Austin Hsu	4-Mar	Mirran		../../Handlers/Image.ashx?multiverseid=214064&type=card	19.jpg	"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nWhenever Hero of Bladehold attacks, put two 1/1 white Soldier creature tokens with buzztouch onto the battlefield tapped and attacking."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Hidden+Dragonslayer	White	23	Hidden Dragonslayer	"LifelinkMegamorph(You may cast this card face down as a 2/2 creature for. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)When Hidden Dragonslayer is turned face up, destroy target creature with power 4 or greater an opponent controls."			Creature   Human Warrior		2	Rare	Dragons of Tarkir	Anastasia Ovchinnikova	1-Feb	Dromoka		../../Handlers/Image.ashx?multiverseid=394597&type=card	20.jpg	"Lifelink\nMegamorph 2W (You may cast this card face down as a 2/2 creature for. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Hidden Dragonslayer is turned face up, destroy target creature with power 4 or greater an opponent controls or assign 2 drinks."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Isamaru%2C+Hound+of+Konda	White	19	"Isamaru, Hound of Konda"		"The hound sniffed the air and let slip a low growl. General Takeno looked down at the faithful Isamaru and calmed him with a touch. ""Alert the men. The kami are coming."""		Legendary Creature   Hound		1	Rare	Champions of Kamigawa	Christopher Moeller	2-Feb			../../Handlers/Image.ashx?multiverseid=79217&type=card	21.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Kami+of+Ancient+Law	White	21	Kami of Ancient Law	Sacrifice Kami of Ancient Law: Destroy target enchantment.	"Duty and law are the foundation on which civilization stands. They must not fall, for when they do, they take everything with them.Lord Konda"		Creature   Spirit		2	Common	Modern Masters 2015 Edition	Mark Tedin	2-Feb			../../Handlers/Image.ashx?multiverseid=397892&type=card	22.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Karmic+Guide	White	32	Karmic Guide	"Flying, protection from blackEcho(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)When Karmic Guide enters the battlefield, return target creature card from your graveyard to the battlefield."			Creature   Angel Spirit		5	Rare	Vintage Masters	Allen Williams	2-Feb			../../Handlers/Image.ashx?multiverseid=382983&type=card	23.jpg	"Flying, protection from black and creatures with buzztouch or drunktouch.\nEcho 3WW\nWhen Karmic Guide enters the battlefield, return target creature card from your graveyard to the battlefield."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Kor+Skyfisher	White	16	Kor Skyfisher	"FlyingWhen Kor Skyfisher enters the battlefield, return a permanent you control to its owner's hand."	"Sometimes I snare the unexpected, but I know its purpose will be revealed in time."		Creature   Kor Soldier		2	Common	Duel Decks: Elspeth vs. Kiora	Dan Scott	3-Feb			../../Handlers/Image.ashx?multiverseid=394382&type=card	24.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Leonin+Relic-Warder	White	10	Leonin Relic-Warder	"When Leonin Relic-Warder enters the battlefield, you may exile target artifact or enchantment.When Leonin Relic-Warder leaves the battlefield, return the exiled card to the battlefield under its owner's control."			Creature   Cat Cleric		2	Uncommon	Mirrodin Besieged	Greg Staples	2-Feb	Mirran		../../Handlers/Image.ashx?multiverseid=222860&type=card	26.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Linvala%2C+Keeper+of+Silence	White	33	"Linvala, Keeper of Silence"	FlyingActivated abilities of creatures your opponents control can't be activated.	Those who seek to disturb the harmony of life will see their instruments taken from them.		Legendary Creature   Angel		4	Mythic Rare	Rise of the Eldrazi	Igor Kieryluk	4-Mar			../../Handlers/Image.ashx?multiverseid=193660&type=card	27.jpg	Flying\nActivated abilities of creatures your opponents control can't be activated.  Opponents creatures lose buzztouch and drunktouch.
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Mentor+of+the+Meek	White	79	Mentor of the Meek	"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay. If you do, draw a card."	In these halls there is no pass or fail. Your true test comes with the first full moon.		Creature   Human Soldier		3	Rare	Commander 2014	Jana Schirmer&Johannes Voss	2-Feb			../../Handlers/Image.ashx?multiverseid=389594&type=card	28.jpg	"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay 1 drink. If you do, draw a card."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Mirran+Crusader	White	25	Mirran Crusader	"Double strike, protection from black and from green"	A symbol of what Mirrodin once was and hope for what it will be again.		Creature   Human Knight		3	Rare	Modern Masters 2015 Edition	Eric Deschamps	2-Feb			../../Handlers/Image.ashx?multiverseid=397737&type=card	29.jpg	"Double strike, protection from black, from green, and creatures with buzztouch or drunktouch"
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Monastery+Mentor	White	20	Monastery Mentor	"Prowess(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever you cast a noncreature spell, put a 1/1 white Monk creature token with prowess onto the battlefield."	Speak little. Do much.		Creature   Human Monk		3	Mythic Rare	Fate Reforged	Magali Villeneuve	2-Feb	Jeskai		../../Handlers/Image.ashx?multiverseid=391883&type=card	30.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Mother+of+Runes	White	20	Mother of Runes	: Target creature you control gains protection from the color of your choice until end of turn.	"She will not touch a weapon, yet she is the greatest protector her people have ever known."		Creature   Human Cleric		1	Uncommon	Duel Decks: Elspeth vs. Kiora	Terese Nielsen	1-Jan			../../Handlers/Image.ashx?multiverseid=394389&type=card	31.jpg	T : Target creature you control gains protection from the color of your choice until end of turn.
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Porcelain+Legionnaire	White	19	Porcelain Legionnaire	(can be paid with eitheror 2 life.)First strike	"My new design has lightweight plating specially cultivated from heretics' spare tissues.Izathel, priest of the Annex"		Artifact Creature   Soldier		3	Common	New Phyrexia	Eric Deschamps	1-Mar	Phyrexian		../../Handlers/Image.ashx?multiverseid=218043&type=card	32.jpg	(The colored mana can be paid with either the appropriate colored mana or 2 drinks.)\nFirst strike
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Precinct+Captain	White	22	Precinct Captain	"First strikeWhenever Precinct Captain deals combat damage to a player, put a 1/1 white Soldier creature token onto the battlefield."	"In troubled times, we all need someone to watch our back."		Creature   Human Soldier		2	Rare	Duel Decks: Elspeth vs. Kiora	Steve Prescott	2-Feb			../../Handlers/Image.ashx?multiverseid=394401&type=card	33.jpg	"First strike\nWhenever Precinct Captain deals combat damage to a player, put a 1/1 white Soldier creature token with buzztouch onto the battlefield."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Ranger+of+Eos	White	21	Ranger of Eos	"When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with converted mana cost 1 or less, reveal them, and put them into your hand. If you do, shuffle your library."	"At his side, humble beasts become weapons more deadly than sharpened steel."		Creature   Human Soldier		4	Rare	Shards of Alara	Volkan Baga	2-Mar			../../Handlers/Image.ashx?multiverseid=174823&type=card	34.jpg	"When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with converted mana cost 1 or less, reveal them, and put them into your hand. If you do, shuffle your library. Drink 1 for each creature revealed this way."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Restoration+Angel	White	32	Restoration Angel	"FlashFlyingWhen Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control."			Creature   Angel		4	Rare	Avacyn Restored	Johannes Voss	4-Mar			../../Handlers/Image.ashx?multiverseid=240096&type=card	35.jpg	"Flash\nFlying\nBuzztouch\nWhen Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.  Drink 1 if you used the enter the battlefield effect."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Reveillark	White	26	Reveillark	"FlyingWhen Reveillark leaves the battlefield, return up to two target creature cards with power 2 or less from your graveyard to the battlefield.Evoke(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"			Creature   Elemental		5	Rare	Modern Masters	Jim Murray	3-Apr			../../Handlers/Image.ashx?multiverseid=370493&type=card	36.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Seeker+of+the+Way	White	22	Seeker of the Way	"Prowess(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever you cast a noncreature spell, Seeker of the Way gains lifelink until end of turn."	"I don't know where my destiny lies, but I know it isn't here."		Creature   Human Warrior		2	Uncommon	Khans of Tarkir	Craig J Spearing	2-Feb	Jeskai		../../Handlers/Image.ashx?multiverseid=386660&type=card	37.jpg	"Prowess(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever you cast a noncreature spell, Seeker of the Way gains lifelink and drunktouch until end of turn."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Silverblade+Paladin	White	88	Silverblade Paladin	"Soulbond(You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)As long as Silverblade Paladin is paired with another creature, both creatures have double strike."			Creature   Human Knight		3	Rare	Commander 2014	Jason Chan	2-Feb			../../Handlers/Image.ashx?multiverseid=389673&type=card	38.jpg	"Soulbond(You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)\nAs long as Silverblade Paladin is paired with another creature, both creatures have double strike and drunktouch."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Soldier+of+the+Pantheon	White	32	Soldier of the Pantheon	"Protection from multicoloredWhenever an opponent casts a multicolored spell, you gain 1 life."	"I hear the gods' voices in my dreams each night, and I offer bloody trophies on their altars each day."		Creature   Human Soldier		1	Rare	Theros	Eric Deschamps	1-Feb			../../Handlers/Image.ashx?multiverseid=373529&type=card	39.jpg	"Protection from multicolored\nWhenever an opponent casts a multicolored spell, they drink 1 and you gain 1 life."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Soulfire+Grand+Master	Red	27	Soulfire Grand Master	"LifelinkInstant and sorcery spells you control have lifelink.: The next time you cast an instant or sorcery spell from your hand this turn, put that card into your hand instead of into your graveyard as it resolves."			Creature   Human Monk		2	Mythic Rare	Fate Reforged	Johannes Voss	2-Feb	Jeskai		../../Handlers/Image.ashx?multiverseid=391927&type=card	40.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Student+of+Warfare	White	47	Student of Warfare	Level up(: Put a level counter on this. Level up only as a sorcery.)LEVEL 2-63/3First strikeLEVEL 7+4/4Double strike			Creature   Human Knight		1	Rare	Rise of the Eldrazi	Volkan Baga	1-Jan			../../Handlers/Image.ashx?multiverseid=193598&type=card	41.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Sublime+Archangel	White	36	Sublime Archangel	"FlyingExalted(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)Other creatures you control have exalted.(If a creature has multiple instances of exalted, each triggers separately.)"			Creature   Angel		4	Mythic Rare	Magic 2013	Cynthia Sheppard	3-Apr			../../Handlers/Image.ashx?multiverseid=259725&type=card	42.jpg	"Flying\nDrunktouch\nExalted(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nOther creatures you control have exalted.\n(If a creature has multiple instances of exalted, each triggers separately.)"
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Sun+Titan	White	82	Sun Titan	"VigilanceWhenever Sun Titan enters the battlefield or attacks, you may return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield."	A blazing sun that never sets.		Creature   Giant		6	Mythic Rare	Commander 2015	Todd Lockwood	6-Jun			../../Handlers/Image.ashx?multiverseid=405400&type=card	43.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Thalia%2C+Guardian+of+Thraben	White	24	"Thalia, Guardian of Thraben"	First strikeNoncreature spells costmore to cast.	Thraben is our home and I will not see it fall to this unhallowed horde.		Legendary Creature   Human Soldier		2	Rare	Dark Ascension	Jana Schirmer&Johannes Voss	1-Feb			../../Handlers/Image.ashx?multiverseid=270445&type=card	44.jpg	First strike\nNoncreature spells cost 1 drink more to cast.
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Wall+of+Omens	White	4	Wall of Omens	"DefenderWhen Wall of Omens enters the battlefield, draw a card."	I search for a vision of Zendikar that does not include the Eldrazi.Expedition journal entry		Creature   Wall		2	Uncommon	Duel Decks: Sorin vs. Tibalt	James Paick	0 / 4			../../Handlers/Image.ashx?multiverseid=368516&type=card	45.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Yosei%2C+the+Morning+Star	White	35	"Yosei, the Morning Star"	"FlyingWhen Yosei, the Morning Star dies, target player skips his or her next untap step. Tap up to five target permanents that player controls."			Legendary Creature   Dragon Spirit		6	Mythic Rare	Modern Masters	Hiro Izawa	5-May			../../Handlers/Image.ashx?multiverseid=370574&type=card	46.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Angelic+Destiny	White	3	Angelic Destiny	"Enchant creatureEnchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types.When enchanted creature dies, return Angelic Destiny to its owner's hand."			Enchantment   Aura		4	Mythic Rare	Magic 2012	Jana Schirmer&Johannes Voss				../../Handlers/Image.ashx?multiverseid=220230&type=card	47.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Banishing+Light	White	61	Banishing Light	"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.(That permanent returns under its owner's control.)"			Enchantment		3	Uncommon	Commander 2015	Willian Murai				../../Handlers/Image.ashx?multiverseid=405135&type=card	48.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Crusade	White	27	Crusade	White creatures get +1/+1.	"Finally, I understand. Home isn't where you rest. It's what you fight for.Elspeth Tirel"		Enchantment		2	Rare	Duel Decks: Elspeth vs. Tezzeret	Howard Lyon				../../Handlers/Image.ashx?multiverseid=218582&type=card	49.jpg	Token creatures get +1/+1 and gain drunktouch.
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Dictate+of+Heliod	White	68	Dictate of Heliod	FlashCreatures you control get +2/+2.	"In our war Heliod gave mortals some favor, yet other times he withheld aid. Are we still no more than game pieces to him?Polyxene the Doubter"		Enchantment		5	Rare	Commander 2015	Terese Nielsen				../../Handlers/Image.ashx?multiverseid=405200&type=card	50.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Faith%27s+Fetters	White	69	Faith's Fetters	"Enchant permanentWhen Faith's Fetters enters the battlefield, you gain 4 life.Enchanted permanent's activated abilities can't be activated unless they're mana abilities. If enchanted permanent is a creature, it can't attack or block."			Enchantment   Aura		4	Common	Commander 2015	Brian Despain				../../Handlers/Image.ashx?multiverseid=405224&type=card	51.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Glorious+Anthem	White	17	Glorious Anthem	Creatures you control get +1/+1.	"Once heard, the battle song of an angel becomes part of the listener forever."		Enchantment		3	Rare	Tenth Edition	Kev Walker				../../Handlers/Image.ashx?multiverseid=129572&type=card	52.jpg	Creatures you control gain drunktouch.
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Honor+of+the+Pure	White	6	Honor of the Pure	White creatures you control get +1/+1.	"Together the soldiers were like a golden blade, cutting down their enemies and scarring the darkness."		Enchantment		2	Rare	Modern Event Deck 2014	Greg Staples				../../Handlers/Image.ashx?multiverseid=382186&type=card	53.jpg	Token creatures get +1/+1 and gain drunktouch.
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Journey+to+Nowhere	White	17	Journey to Nowhere	"When Journey to Nowhere enters the battlefield, exile target creature.When Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control."			Enchantment		2	Common	Magic: The Gathering-Commander	Warren Mahy				../../Handlers/Image.ashx?multiverseid=247547&type=card	54.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Land+Tax	White	17	Land Tax	"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, and put them into your hand. If you do, shuffle your library."			Enchantment		1	Rare	Masters Edition III	Brian Snoddy				../../Handlers/Image.ashx?multiverseid=201153&type=card	55.jpg	"At the beginning of your upkeep, if an opponent controls more lands than you, they drink 1 and you may search your library for up to three basic land cards, reveal them, and put them into your hand. If you do, shuffle your library."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Oblivion+Ring	White	29	Oblivion Ring	"When Oblivion Ring enters the battlefield, exile another target nonland permanent.When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control."			Enchantment		3	Uncommon	Modern Masters 2015 Edition	Franz Vohwinkel				../../Handlers/Image.ashx?multiverseid=397760&type=card	56.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Parallax+Wave	White	37	Parallax Wave	"Fading 5(This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)Remove a fade counter from Parallax Wave: Exile target creature.When Parallax Wave leaves the battlefield, each player returns to the battlefield all cards he or she owns exiled with Parallax Wave."			Enchantment		4	Rare	Vintage Masters	Greg Staples				../../Handlers/Image.ashx?multiverseid=383041&type=card	57.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Spear+of+Heliod	White	33	Spear of Heliod	"Creatures you control get +1/+1.,: Destroy target creature that dealt damage to you this turn."	"Legend speaks of the Sun Spear, the mighty weapon that can strike any point in Theros, even the depths of the Underworld."		Legendary Enchantment Artifact		3	Rare	Theros	Yeong-Hao Han				../../Handlers/Image.ashx?multiverseid=373717&type=card	58.jpg	
